id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_countries,spoken_languages,keywords,cast_3,director
13920,Radio,7.139,617,2003,53293628,109,False,35000000,en,Radio,"High school football coach, Harold Jones befriends Radio, a mentally-challenged man who becomes a student at T.L. Hanna High School in Anderson, South Carolina. Their friendship extends over several decades, where Radio transforms from a shy, tormented man into an inspiration to his community.",15.319,/uQ6ci4iFHhB6TWB2f4wftR7AEly.jpg,His courage made them champions.,['Drama'],['United States of America'],"['English', 'Russian']","['friendship', 'sports', 'biography']","['Cuba Gooding Jr.', 'Ed Harris', 'Alfre Woodard']",['Mike Tollin']
123678,The Act of Killing,7.689,616,2012,722714,159,False,1000000,id,Jagal,Filmmakers expose the horrifying mass executions of accused communists in Indonesia and those who are celebrated in their country for perpetrating the crime.,11.03,/wg9QERtcZTTcOu6La3nZCfJUMHG.jpg,"A story of killers who win, and the society they build.",['Documentary'],"['Denmark', 'Norway', 'United Kingdom']",['Indonesian'],"['corruption', 'indonesia', 'genocide', 'indonesian genocide', 'political documentary', 'social & cultural documentary']","['Anwar Congo', 'Herman Koto', 'Syamsul Arifin']","['Joshua Oppenheimer', 'Christine Cynn', 'Anonymous']"
10238,Cries and Whispers,7.945,614,1972,0,95,False,400000,sv,Viskningar och rop,"As Agnes slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria is wracked with guilt at her husband's attempted suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin seems to regard her sister with revulsion. Only Anna, the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy.",14.038,/a1bMgB09YDvvRN9SitCclUYragr.jpg,Four women dressed in white in a mansion painted red... haunted by whispers and cries.,['Drama'],['Sweden'],['Swedish'],"['dying and death', 'sibling relationship', 'sweden', 'sister', 'cancer', 'mansion', '19th century']","['Harriet Andersson', 'Ingrid Thulin', 'Kari Sylwan']",['Ingmar Bergman']
10514,The Andromeda Strain,7.042,613,1971,12376563,131,False,6500000,en,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents.",12.571,/i3rTxQRJaBJoBcY8VMUOPT2E8Hp.jpg,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!,"['Science Fiction', 'Thriller']",['United States of America'],['English'],"['biological weapon', 'based on novel or book', 'nasa', 'biology', 'new mexico', 'epilepsy', 'chemistry', 'secret lab', 'disaster', 'nuclear threat']","['Arthur Hill', 'David Wayne', 'James Olson']",['Robert Wise']
3179,Beavis and Butt-Head Do America,6.609,612,1996,63118386,80,False,12000000,en,Beavis and Butt-Head Do America,"Slacker duo Beavis and Butt-Head wake to discover their TV has been stolen. Their search for a new one takes them on a clueless adventure across America, during which they manage to accidentally become America's most wanted.",18.602,/wEB1GPT7mQcTNuYT73s72ljjbMF.jpg,Coming to a screen bigger than your TV.,"['Animation', 'Comedy']",['United States of America'],['English'],"['hotel', 'sperm', 'washington dc', 'usa', 'casino', 'sun', 'road trip', 'las vegas', 'adult animation', 'based on tv series']","['Mike Judge', 'Bruce Willis', 'Demi Moore']",['Mike Judge']
44835,Hesher,6.84,612,2010,449702,106,False,7000000,en,Hesher,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,13.837,/dD03azf3h1hUHVzVkkqJs96Kkay.jpg,Sometimes life gives you the finger and sometimes it gives you...,['Drama'],['United States of America'],['English'],"['clerk', 'loss of loved one', 'briefs', 'duringcreditsstinger', 'young girl']","['Joseph Gordon-Levitt', 'Natalie Portman', 'Rainn Wilson']",['Spencer Susser']
306745,Freeheld,7.289,609,2015,573335,103,False,7000000,en,Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,8.571,/794PfYjTz3yxMRdTRmdFYt6w6ff.jpg,A true story of love and injustice.,"['Romance', 'Drama']",['United States of America'],['English'],"['new jersey', 'equality', 'lesbian relationship', 'cancer', 'lesbian']","['Julianne Moore', 'Ellen Page', 'Steve Carell']",['Peter Sollett']
26963,The Secret of Kells,7.406,608,2009,1803412,75,False,8000000,en,The Secret of Kells,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",16.544,/tmiufIvSssZ2cmYJbro99gZvn2H.jpg,Turn the darkness into light,"['Animation', 'Family', 'Fantasy']","['Belgium', 'France', 'Ireland']",['English'],"['mythology', 'viking', 'barbarian', 'underwater', 'trapped', 'sea monster', 'woman director', 'irish folklore', '9th century', 'celtic mythology']","['Evan McGuire', 'Christen Mooney', 'Brendan Gleeson']","['Tomm Moore', 'Nora Twomey']"
6575,Walk Hard: The Dewey Cox Story,6.561,608,2007,18317151,96,False,35000000,en,Walk Hard: The Dewey Cox Story,"Following a childhood tragedy, Dewey Cox follows a long and winding road to music stardom. Dewey perseveres through changing musical styles, an addiction to nearly every drug known and bouts of uncontrollable rage.",14.81,/Aa1IQ4Cuin3d7qIahvPheMmR4E5.jpg,Life made him tough. Love made him strong. Music made him hard.,"['Comedy', 'Music', 'Drama']",['United States of America'],['English'],"[""rock 'n' roll"", 'hip-hop', 'music record', 'pop star', 'pop', 'rapper', 'music instrument', 'blues', 'record producer', 'wedding', 'extramarital affair', 'aftercreditsstinger']","['John C. Reilly', 'Jenna Fischer', 'Tim Meadows']",['Jake Kasdan']
62837,Dolphin Tale,6.9,600,2011,95404397,113,False,37000000,en,Dolphin Tale,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,15.889,/92P8cAORDMW4Z8qxYpKz3iFdnYk.jpg,Inspired by the amazing true story of Winter,"['Drama', 'Family']",['United States of America'],['English'],"['florida', 'dolphin', 'based on true story', 'trap', 'summer']","['Morgan Freeman', 'Ashley Judd', 'Harry Connick Jr.']",['Charles Martin Smith']
